algo,taille,temps
vorace,100,0.000038
vorace,100,0.000045
vorace,100,0.000044
vorace,100,0.000038
vorace,100,0.000041
vorace,100,0.000041
vorace,100,0.000030
vorace,100,0.000040
vorace,100,0.000044
vorace,100,0.000044
vorace,500,0.000046
vorace,500,0.000048
vorace,500,0.000078
vorace,500,0.000072
vorace,500,0.000086
vorace,500,0.000043
vorace,500,0.000045
vorace,500,0.000064
vorace,500,0.000069
vorace,500,0.000066
vorace,1000,0.000085
vorace,1000,0.000132
vorace,1000,0.000124
vorace,1000,0.000107
vorace,1000,0.000109
vorace,1000,0.000097
vorace,1000,0.000118
vorace,1000,0.000119
vorace,1000,0.000094
vorace,1000,0.000111
vorace,5000,0.000381
vorace,5000,0.000416
vorace,5000,0.000352
vorace,5000,0.000405
vorace,5000,0.000361
vorace,5000,0.000379
vorace,5000,0.000432
vorace,5000,0.000375
vorace,5000,0.000349
vorace,5000,0.000451
vorace,10000,0.000489
vorace,10000,0.000628
vorace,10000,0.000511
vorace,10000,0.000584
vorace,10000,0.000650
vorace,10000,0.000611
vorace,10000,0.000660
vorace,10000,0.000546
vorace,10000,0.000555
vorace,10000,0.000484
vorace,50000,0.003774
vorace,50000,0.004188
vorace,50000,0.004495
vorace,50000,0.004652
vorace,50000,0.003541
vorace,50000,0.003770
vorace,50000,0.003690
vorace,50000,0.004732
vorace,50000,0.003487
vorace,50000,0.003482
vorace,100000,0.007524
vorace,100000,0.008696
vorace,100000,0.008547
vorace,100000,0.008265
vorace,100000,0.008516
vorace,100000,0.008768
vorace,100000,0.007862
vorace,100000,0.010098
vorace,100000,0.007758
vorace,100000,0.009293
progdyn,100,0.000196
progdyn,100,0.000286
progdyn,100,0.000326
progdyn,100,0.000426
progdyn,100,0.000370
progdyn,100,0.000225
progdyn,100,0.000324
progdyn,100,0.000360
progdyn,100,0.000272
progdyn,100,0.000354
progdyn,500,0.007995
progdyn,500,0.005817
progdyn,500,0.003582
progdyn,500,0.004416
progdyn,500,0.004809
progdyn,500,0.005113
progdyn,500,0.004511
progdyn,500,0.005032
progdyn,500,0.006178
progdyn,500,0.003502
progdyn,1000,0.015537
progdyn,1000,0.015333
progdyn,1000,0.016591
progdyn,1000,0.016497
progdyn,1000,0.015072
progdyn,1000,0.015867
progdyn,1000,0.016115
progdyn,1000,0.017564
progdyn,1000,0.017530
progdyn,1000,0.016339
progdyn,5000,0.429264
progdyn,5000,0.423144
progdyn,5000,0.418241
progdyn,5000,0.416298
progdyn,5000,0.407366
progdyn,5000,0.414381
progdyn,5000,0.422027
progdyn,5000,0.419526
progdyn,5000,0.403594
progdyn,5000,0.415963
progdyn,10000,1.769305
progdyn,10000,1.736400
progdyn,10000,1.766095
progdyn,10000,1.771911
progdyn,10000,1.707646
progdyn,10000,1.711094
progdyn,10000,1.699366
progdyn,10000,1.686854
progdyn,10000,1.688964
progdyn,10000,1.674987
tabou,100,0.012319
tabou,100,0.012030
tabou,100,0.012109
tabou,100,0.010428
tabou,100,0.011877
tabou,100,0.010870
tabou,100,0.010757
tabou,100,0.012778
tabou,100,0.009284
tabou,100,0.011675
tabou,500,0.091613
tabou,500,0.079301
tabou,500,0.078304
tabou,500,0.081591
tabou,500,0.062732
tabou,500,0.088302
tabou,500,0.085928
tabou,500,0.076479
tabou,500,0.072653
tabou,500,0.083255
tabou,1000,0.167059
tabou,1000,0.182839
tabou,1000,0.194743
tabou,1000,0.213335
tabou,1000,0.212979
tabou,1000,0.211713
tabou,1000,0.172880
tabou,1000,0.226859
tabou,1000,0.181708
tabou,1000,0.214549
tabou,5000,1.631999
tabou,5000,1.959373
tabou,5000,1.935845
tabou,5000,1.717106
tabou,5000,1.694902
tabou,5000,1.920733
tabou,5000,1.946620
tabou,5000,1.922875
tabou,5000,1.383107
tabou,5000,1.434134
tabou,10000,4.224721
tabou,10000,3.849173
tabou,10000,3.040448
tabou,10000,5.714929
tabou,10000,5.554118
tabou,10000,3.792701
tabou,10000,3.518965
tabou,10000,4.928401
tabou,10000,3.340678
tabou,10000,4.525281
progdyn,50000,66.319757
tabou,50000,62.482734
progdyn,100000,457.721231
tabou,100000,162.437751
